GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mdd-api,com.openclassrooms.mddapi,MddApiApplication,5,3,0,0,2,1,1,1,1,1
mdd-api,com.openclassrooms.mddapi.authentication.service,AuthenticationCookieService,0,54,0,0,0,23,0,3,0,3
mdd-api,com.openclassrooms.mddapi.authentication.service,LoginService,0,52,0,0,0,13,0,4,0,4
mdd-api,com.openclassrooms.mddapi.authentication.service,RegistrationService,0,59,0,4,0,15,0,4,0,2
mdd-api,com.openclassrooms.mddapi.authentication.service,JwtService,0,40,0,0,0,12,0,2,0,2
mdd-api,com.openclassrooms.mddapi.authentication.domain,UserAccount,0,40,0,0,0,14,0,7,0,7
mdd-api,com.openclassrooms.mddapi.system.controller,RootController,0,5,0,0,0,2,0,2,0,2
mdd-api,com.openclassrooms.mddapi.system.config,SwaggerUiHomeLinkConfig,11,33,8,4,1,9,5,4,0,3
mdd-api,com.openclassrooms.mddapi.system.config,SwaggerUiHomeLinkConfig.new SwaggerIndexTransformer() {...},4,59,3,3,2,9,3,2,0,2
mdd-api,com.openclassrooms.mddapi.system.config,SecurityConfig,0,107,0,0,0,19,0,6,0,6
mdd-api,com.openclassrooms.mddapi.system.config,SecurityConfig.CsrfTokenEndpointFilter,0,35,0,4,0,9,0,5,0,3
mdd-api,com.openclassrooms.mddapi.system.config,OpenApiConfig,0,41,0,0,0,13,0,2,0,2
mdd-api,com.openclassrooms.mddapi.authentication.controller,AuthenticationController,0,66,0,0,0,16,0,4,0,4
mdd-api,com.openclassrooms.mddapi.authentication.config,AuthenticationMessagesProperties,0,8,0,0,0,2,0,1,0,1
mdd-api,com.openclassrooms.mddapi.authentication.config,AuthenticationConfiguration,0,3,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.authentication.config,JwtProperties,0,12,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.authentication.config,AuthenticationMessagesProperties.Validation,0,3,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.authentication.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.authentication.dto,RegisterRequest,0,12,0,0,0,1,0,1,0,1
