GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mdd-api,com.openclassrooms.mddapi.post.service,PostService,194,0,3,0,47,0,13,0,11,0
mdd-api,com.openclassrooms.mddapi.system.security,ApiAuthenticationEntryPoint,0,44,0,0,0,16,0,2,0,2
mdd-api,com.openclassrooms.mddapi.system.security,ApiAccessDeniedHandler,0,50,0,0,0,17,0,3,0,3
mdd-api,com.openclassrooms.mddapi.authentication.controller,AuthenticationController,66,0,0,0,16,0,4,0,4,0
mdd-api,com.openclassrooms.mddapi.post.domain,Post,47,0,0,0,15,0,9,0,9,0
mdd-api,com.openclassrooms.mddapi.authentication.config,AuthenticationConfiguration,9,0,0,0,2,0,2,0,2,0
mdd-api,com.openclassrooms.mddapi.authentication.security,JwtAuthenticationFilter,101,0,6,0,26,0,12,0,9,0
mdd-api,com.openclassrooms.mddapi.comment.dto,CommentResponse,23,0,0,0,3,0,2,0,2,0
mdd-api,com.openclassrooms.mddapi.comment.dto,CreateCommentRequest,6,0,0,0,1,0,1,0,1,0
mdd-api,com.openclassrooms.mddapi.authentication.service,JwtService.AuthenticationToken,9,0,0,0,1,0,1,0,1,0
mdd-api,com.openclassrooms.mddapi.authentication.service,LoginService,54,0,0,0,13,0,4,0,4,0
mdd-api,com.openclassrooms.mddapi.authentication.service,JwtService,86,0,2,0,21,0,5,0,4,0
mdd-api,com.openclassrooms.mddapi.authentication.service,AuthenticationCookieService,57,0,0,0,23,0,3,0,3,0
mdd-api,com.openclassrooms.mddapi.authentication.service,RegistrationService,61,0,4,0,16,0,4,0,2,0
mdd-api,com.openclassrooms.mddapi.system.controller,RootController,0,5,0,0,0,2,0,2,0,2
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties.Errors,0,3,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,SwaggerUiHomeLinkConfig.new SwaggerIndexTransformer() {...},0,63,0,6,0,11,0,5,0,2
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties.Validation,0,3,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,SecurityConfig,6,126,0,0,1,24,1,8,1,8
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties,0,18,0,0,0,4,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties.Jwt,0,3,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,SwaggerUiHomeLinkConfig,0,44,0,12,0,10,0,9,0,3
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties.Messages,0,13,0,0,0,3,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,SecurityConfig.CsrfTokenEndpointFilter,0,35,0,4,0,9,0,5,0,3
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties.Mail,0,3,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,OpenApiConfig,41,0,0,0,13,0,2,0,2,0
mdd-api,com.openclassrooms.mddapi.post.controller,PostController,45,0,0,0,9,0,5,0,5,0
mdd-api,com.openclassrooms.mddapi.topic.controller,TopicController,33,0,0,0,8,0,4,0,4,0
mdd-api,com.openclassrooms.mddapi.comment.domain,Comment,37,0,0,0,12,0,7,0,7,0
mdd-api,com.openclassrooms.mddapi.authentication.dto,RegisterRequest,12,0,0,0,1,0,1,0,1,0
mdd-api,com.openclassrooms.mddapi.authentication.dto,LoginRequest,9,0,0,0,1,0,1,0,1,0
mdd-api,com.openclassrooms.mddapi,MddApiApplication,0,8,0,0,0,3,0,2,0,2
mdd-api,com.openclassrooms.mddapi.authentication.domain,UserAccount,68,0,2,0,24,0,12,0,11,0
mdd-api,com.openclassrooms.mddapi.system.error,GlobalExceptionHandler,21,54,0,0,4,15,2,5,2,5
mdd-api,com.openclassrooms.mddapi.system.error,ApiErrorResponse,0,18,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.error,ApiErrorCode,0,45,0,0,0,8,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.error,ApiException,16,0,0,0,6,0,3,0,3,0
mdd-api,com.openclassrooms.mddapi.user.dto,UpdateCurrentUserRequest,12,0,0,0,1,0,1,0,1,0
mdd-api,com.openclassrooms.mddapi.user.dto,CurrentUserResponse,22,0,0,0,2,0,2,0,2,0
mdd-api,com.openclassrooms.mddapi.topic.domain,Topic,12,0,0,0,4,0,4,0,4,0
mdd-api,com.openclassrooms.mddapi.topic.domain,SubscriptionId,62,0,8,0,13,0,10,0,6,0
mdd-api,com.openclassrooms.mddapi.topic.domain,Subscription,21,0,0,0,6,0,3,0,3,0
mdd-api,com.openclassrooms.mddapi.user.service,CurrentUserService,125,0,16,0,28,0,13,0,5,0
mdd-api,com.openclassrooms.mddapi.topic.service,TopicService,69,0,4,0,17,0,7,0,5,0
mdd-api,com.openclassrooms.mddapi.post.dto,CreatePostRequest,12,0,0,0,1,0,1,0,1,0
mdd-api,com.openclassrooms.mddapi.post.dto,PostResponse,39,0,0,0,8,0,2,0,2,0
