GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mdd-api,com.openclassrooms.mddapi.post.service,PostService,22,172,1,2,4,43,2,11,1,10
mdd-api,com.openclassrooms.mddapi.system.security,ApiAuthenticationEntryPoint,0,44,0,0,0,16,0,2,0,2
mdd-api,com.openclassrooms.mddapi.system.security,ApiAccessDeniedHandler,0,50,0,0,0,17,0,3,0,3
mdd-api,com.openclassrooms.mddapi.authentication.controller,AuthenticationController,0,66,0,0,0,16,0,4,0,4
mdd-api,com.openclassrooms.mddapi.post.domain,Post,0,47,0,0,0,15,0,9,0,9
mdd-api,com.openclassrooms.mddapi.authentication.config,AuthenticationConfiguration,0,9,0,0,0,2,0,2,0,2
mdd-api,com.openclassrooms.mddapi.authentication.security,JwtAuthenticationFilter,0,101,1,5,0,26,1,11,0,9
mdd-api,com.openclassrooms.mddapi.comment.dto,CommentResponse,0,23,0,0,0,3,0,2,0,2
mdd-api,com.openclassrooms.mddapi.comment.dto,CreateCommentRequest,0,6,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.authentication.service,JwtService.AuthenticationToken,0,9,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.authentication.service,LoginService,0,54,0,0,0,13,0,4,0,4
mdd-api,com.openclassrooms.mddapi.authentication.service,JwtService,2,84,1,1,0,21,1,4,0,4
mdd-api,com.openclassrooms.mddapi.authentication.service,AuthenticationCookieService,0,57,0,0,0,23,0,3,0,3
mdd-api,com.openclassrooms.mddapi.authentication.service,RegistrationService,0,61,0,4,0,16,0,4,0,2
mdd-api,com.openclassrooms.mddapi.system.controller,RootController,0,5,0,0,0,2,0,2,0,2
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties.Errors,0,3,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,SwaggerUiHomeLinkConfig.new SwaggerIndexTransformer() {...},0,63,0,6,0,11,0,5,0,2
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties.Validation,0,3,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,SecurityConfig,0,132,0,0,0,25,0,9,0,9
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties,0,18,0,0,0,4,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties.Jwt,0,3,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,SwaggerUiHomeLinkConfig,0,44,0,12,0,10,0,9,0,3
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties.Messages,0,13,0,0,0,3,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,SecurityConfig.CsrfTokenEndpointFilter,0,35,0,4,0,9,0,5,0,3
mdd-api,com.openclassrooms.mddapi.system.config,MddProperties.Mail,0,3,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.config,OpenApiConfig,0,41,0,0,0,13,0,2,0,2
mdd-api,com.openclassrooms.mddapi.post.controller,PostController,0,45,0,0,0,9,0,5,0,5
mdd-api,com.openclassrooms.mddapi.topic.controller,TopicController,0,33,0,0,0,8,0,4,0,4
mdd-api,com.openclassrooms.mddapi.comment.domain,Comment,3,34,0,0,1,11,1,6,1,6
mdd-api,com.openclassrooms.mddapi.authentication.dto,RegisterRequest,0,12,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.authentication.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi,MddApiApplication,0,8,0,0,0,3,0,2,0,2
mdd-api,com.openclassrooms.mddapi.authentication.domain,UserAccount,0,68,0,2,0,24,0,12,0,11
mdd-api,com.openclassrooms.mddapi.system.error,GlobalExceptionHandler,0,75,0,0,0,19,0,7,0,7
mdd-api,com.openclassrooms.mddapi.system.error,ApiErrorResponse,0,18,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.error,ApiErrorCode,0,45,0,0,0,8,0,1,0,1
mdd-api,com.openclassrooms.mddapi.system.error,ApiException,0,16,0,0,0,6,0,3,0,3
mdd-api,com.openclassrooms.mddapi.user.dto,UpdateCurrentUserRequest,0,12,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.user.dto,CurrentUserResponse,0,22,0,0,0,2,0,2,0,2
mdd-api,com.openclassrooms.mddapi.topic.domain,Topic,0,12,0,0,0,4,0,4,0,4
mdd-api,com.openclassrooms.mddapi.topic.domain,SubscriptionId,50,12,8,0,8,5,8,2,4,2
mdd-api,com.openclassrooms.mddapi.topic.domain,Subscription,0,21,0,0,0,6,0,3,0,3
mdd-api,com.openclassrooms.mddapi.user.service,CurrentUserService,21,104,3,13,4,24,4,9,1,4
mdd-api,com.openclassrooms.mddapi.topic.service,TopicService,11,58,1,3,2,15,1,6,0,5
mdd-api,com.openclassrooms.mddapi.post.dto,CreatePostRequest,0,12,0,0,0,1,0,1,0,1
mdd-api,com.openclassrooms.mddapi.post.dto,PostResponse,0,39,0,0,0,8,0,2,0,2
mdd-api,com.openclassrooms.mddapi.post.dto,PostDetailResponse,0,43,0,0,0,8,0,2,0,2
mdd-api,com.openclassrooms.mddapi.user.controller,CurrentUserController,0,43,0,0,0,10,0,4,0,4
mdd-api,com.openclassrooms.mddapi.topic.dto,TopicResponse,0,26,0,0,0,2,0,2,0,2
mdd-api,com.openclassrooms.mddapi.comment.notification,CommentNotificationService,0,42,0,0,0,12,0,2,0,2
